,address,amount,percentOfTotal
148,4L1ktFSzm3SH1UioDuUf5hyaraHird4D2dEACwQ1qHGjSKtA6KaNvSzRCZXZGf9jkfNAEC1SrYaZmCuvb2BKiXk5zW9xuvrXFT7FdNe2KqbymiZvo5UQLAm5jQY8ZBRhTZ4AFtZa1UF5nd4aofwPiL7YkJuyiL5hDHMZL1ZnyL746tHmRYMjAhCgE7d698dRhkdSeVy,100000,0.01
149,9fUKUfeXPdPa5XzWyVz4gcqPAueZAyh7rzMDoj8SWXMPEYTwzoh,100000,0.01
150,9etWJTHm8hu3e8PpB5dq6ErEkCZWqZBkF4rr6NxkL85hTgdZ5C1,100000,0.01
151,9faGLnsu7CywSRd4VXMx95aCwiD2yksQDn2ehHbzo7L7igYbXB2,100000,0.01
152,9fR8Jy27CZBgYDa46TKxgNupAF6x2eZqykwqy76st5cGLqD2YLz,100000,0.01
153,9hDcZ8PeX2Mn866N3k9A6sx8XtnZtTLsr25vyQoucXMiM6LdeUT,96053,0.0096053
154,9gH5vGpKAdkEnDp4Jh1wYJzpDVsa9bYPeq6mDLFnKL5CbNRsAgm,96000,0.0096
155,9fzjdLWVPyTytqcbe4TdVrKGmYxHnrnv9tschzPhWjZRSJLkY97,95914,0.0095914
156,9hjfSWyk78UqUHMEbBnEmAEzZaLLT5KLgvNDL3krvEjhWKkv2ba,93048,0.0093048
157,9fBwZcwxvf5qv3zK3C3deHCDQ5187J4HYktgTbszzCbSkc9vhAL,88396,0.0088396
158,9g2B8yHZJfSRK2hkf3CcwehtTufoEuKtYeaSoqE12zPKyer2SkN,86377,0.0086377
159,9fLQMXmZZxgvTNYTYRYnP7ML1ifVsZjvG56RD2XoVHira3QTdMD,78421,0.0078421
160,9g3icrZWNuMCEDZKTkzDh79zhtFr3AbBrKXHAVfC5Kdxx6sjPQh,78000,0.0078
161,9h9Em79Ft6cApYiiK2TRTfhs6dtUiMrToG5LACs5pM5a7z25AjL,75000,0.0075
162,9ho84p6reZ8SrNqCKq8j8SSPNizCWgDAqSTVKwnGbMpb6kQiTGh,62000,0.0062
163,9hK7cFCywB6NS1Hu7JxrfcN7VqgbLuFPKPjKJU66B6FwmzSZF9G,62000,0.0062
164,9i52bxZdsnqLKhMqHNCc38nsFEdj6aVHdXcHFwKZ58AYvtWmNvg,61562,0.0061562
165,9hBbRVAMFZAAPTN4HUpgtzNtVDW4jaUeu8u5X8NEkH4hv78XPzk,60773,0.0060773
166,9f5fd1JFWT1BjdBbW5cXjc7eitc4uEUZGuUB67wKPU6JirSaT1B,53000,0.0053
167,9hYgR9g6XBPx8dX9VawHY17TVCKQ88NLZB8dr319V7j8R4AJZSf,53000,0.0053
168,9gcoXMnxJiTvYiimXYeBbRrAbQYEGwoddzEcVrkgD6F4CTzuPff,52000,0.0052
169,9gQiDPfGmZnZCa2k3FQHh5j8QTwtoUZmubCdKuB5TW3e3NLE438,51000,0.0051
170,9exDMx5UzdJQqJWndbNNCtr9vM5wUhKaKKtQ4aDWZaMrNQfiXAo,50000,0.005
171,9fn7SHhen1yLxGAJFgQn78E6H7GQG6KheymZSpG23kLn1Mck9ma,50000,0.005
172,9hFEbhMta7EUzKBgp91NzAPMSGcaV9qyssi8TrTayiYxgoeRpf9,50000,0.005
173,9hsng1QTADAqS3HYMWJpRAoKRz1b47A9LRFw3koRQ4VuEBu1g8e,50000,0.005
174,9h21vmQ3ifKGyNUXsGphFTHXQhEdHALvxNsns6U78HpN8PBdzTn,50000,0.005
175,9hK1EHKmPPQu4YJrZDjQ2E5sYZxkHFGvU5kVTcxTxojgP28tWzC,50000,0.005
176,9fc3tW91NTocLcGgJabiiAjc9958casRBYD3Rad93g3oiiQaKFi,41853,0.0041853
177,9fG9pNzpqCXe1i3okHaCJCQNMausSWi9NMTsQvpKGoLwK6TivUN,37000,0.0037
178,9hJtxTFyBNeWbxt9VHe7Eng91MXkzotfJJMGwuJi4CuTGRqm9tE,36000,0.0036
179,9hF41ZFhY2cSYBDqv6CRFwfSuDSTpYhaZCJfrqBZQ5ozxLhwknk,35592,0.0035592
180,9hgdxcZhYvckgXvQBTBBpR1f2Fy7kKPuToRKFN1iMBZS6dEKJ39,35000,0.0035
